feature,coefficient,abs_coefficient
LABFORCE,29780.72192196193,29780.72192196193
RETCONT,22199.50608524878,22199.50608524878
CLASSWKR,-12805.383977958598,12805.383977958598
EDUC,12180.822053937143,12180.822053937143
SEX,-10913.703135719477,10913.703135719477
OCC2010,-9021.779764903275,9021.779764903275
POPSTAT,8481.958894094612,8481.958894094612
AGE,7533.565271270902,7533.565271270902
MARST,-6508.427664370869,6508.427664370869
WKSTAT,-6410.623761544726,6410.623761544726
PENSION,5537.788659322615,5537.788659322615
PAIDGH,5304.562382702229,5304.562382702229
FAMKIND,5178.810319460243,5178.810319460243
EMPSTAT,5158.121417883882,5158.121417883882
NUMEMPS,3664.2719561087697,3664.2719561087697
CBSASZ,3649.21139064437,3649.21139064437
FIRMSIZE,2941.199469501822,2941.199469501822
IND,-2689.5143749050267,2689.5143749050267
RELATE,-2158.0899664176186,2158.0899664176186
HIMCAIDLY,-2000.8637021211762,2000.8637021211762
UHRSWORK1,-1987.707772258141,1987.707772258141
UHRSWORKT,1834.9961626821164,1834.9961626821164
FOODSTMP,-1701.5865027490925,1701.5865027490925
SRCEARN,1669.7897570055086,1669.7897570055086
ANYCOVLY,1568.3760881997043,1568.3760881997043
HIMCARELY,1368.8467597334738,1368.8467597334738
PUBHOUS,-1219.0621716773855,1219.0621716773855
CITIZEN,-1207.8120997064834,1207.8120997064834
HISPAN,-1205.127096969468,1205.127096969468
FAMSIZE,1111.1485382044978,1111.1485382044978
PHINSUR,969.2891546875962,969.2891546875962
PAIDHOUR,-926.1338707325884,926.1338707325884
OWNERSHP,-919.4838950837544,919.4838950837544
SCHLCOLL,918.3064100534983,918.3064100534983
RENTSUB,-827.3516987011695,827.3516987011695
METRO,-611.6923803086139,611.6923803086139
VETSTAT,-601.681025024447,601.681025024447
STATEFIP,-599.3967353122891,599.3967353122891
HEATSUB,-578.9304237727276,578.9304237727276
GRPCOVLY,-459.0061901989202,459.0061901989202
RACE,-420.4564422278904,420.4564422278904
UNITSSTR,399.88960674478676,399.88960674478676
UNION,-306.4248854972402,306.4248854972402
NATIVITY,259.36345752206824,259.36345752206824
REGION,196.28707692465505,196.28707692465505
MIGRATE1,-133.01044478278178,133.01044478278178
BPL,55.863225654340475,55.863225654340475
